,Username,Tweet,Likes,Retweets,No
431,hmetromy,"#kualalumpur Sebanyak 22,851,542 individu atau 97.6 peratus populasi dewasa di negara ini lengkap menerima suntikan vaksin Covid-19, setakat 11.59 malam tadi.
https://t.co/aIbEuJVj1H",6,1,431
432,sapukang1,"Target 208,2 juta penduduk Indonesia sudah disuntuk vaksin covid-19 pada maret 2022 

#OptimisPulihkanNegeri https://t.co/b16eZ1YOBO",1,0,432
433,mediaindonesia,Gerai Vaksin Covid-19 di Agam Siapkan Hadiah Kavling Rumah Diundi 2 Januari 2022  https://t.co/0BlTsHyHzX,0,0,433
434,AnadoluAgencyID,Jerman akan sumbangkan 75 juta vaksin Covid-19 ke negara lain https://t.co/Spfjx2tass https://t.co/kB0YWvWjT3,0,0,434
435,pahang_media,"KKM menyarankan kepada semua untuk menangguhkan perjalanan ke negara-negara yang berisiko tinggi berikutan varian Omicron yang kian menular. 

Dapatkan vaksin COVID-19 termasuk dos penggalak sebagai usaha kita melindungi diri dan keluarga tersayang. 

SUMBER: PKD KUANTAN https://t.co/lCcUAg6bcV",6,3,435
436,ariestarico2,Masyarakat untuk tetap tenang dan tidak perlu khawatir. Solusi untuk menghadapi turunnya efektivitas dari vaksin Covid-19 yang ada saat ini adalah dengan terus meningkatkan herd immunity/ kekebalan kelompok di tengah masyarakat. https://t.co/l27ArGcbBY,25,22,436
437,morodjoyo,"Ada Apa Sebenarnya..

Dibalik PEMAKSAAN.. 

Vaksinasi COVID 19?????

Marilah Seluruh Rakyat Indonesia Berfikiran Secara jujur &amp; Adil. 

Ada Agenda Tersembunyi apakah??? 

Bukan kah Vaksin.. Bersifat Sukarela. 
Sesuai UU Kesehatan. 

Yg.. Mau.. Monggo. 
Yg Ragu2.. 
Jng PAKSA.",23,8,437
438,BalkonJakarta,"Ingat! Vaksin Covid-19 Dosis 3 Tak Lagi Gratis, Cek Harganya https://t.co/lgcrkD3xuN",0,0,438
439,KatokRombeng,"Kebutuhan Vaksin Covid-19 Meningkatkan Hampir 70 Persen.!!

#OptimisPulihkanNegeri https://t.co/0DERZ2Eeda",0,0,439
440,kompascom,Ada lima jenis vaksin Covid-19 sedang dalam proses registrasi sebagai vaksin booster di BPOM. https://t.co/NydyjyiVrC,0,2,440
441,cnbcindonesia,"Ingat! Vaksin Covid-19 Dosis 3 Tak Lagi Gratis, Cek Harganya https://t.co/Zl7FE38Ujz",1,0,441
442,Dogelkarya82,"@dr_koko28 @AndiKhomeini Vaksin Covid-19 yang diinjeksi ke tubuh Kita ini apa bener Virus 🦠 yang sudah dilemahkan? Apakah peneliti Kita sdh menelitinya untuk memastikan itu?
Krn kebiasaan Pemerintah hny jd konsumen, wajar jika Rakyat berpikir spt itu.
https://t.co/pEX7641naf",3,2,442
443,KatokRombeng,"BPOM Segera Terbitan UEA Untuk Vaksin Booster Covid-19.!!

#OptimisPulihkanNegeri https://t.co/CZjTa9fg3U",0,0,443
444,VioVio1018,"Target 208,2 juta penduduk Indonesia sudah disuntik vaksin covid 19 pada Maret 2022
.
.
.
.
.
.
💉💉💉💉💉
#OptimisPulihkanNegeri https://t.co/QiMWSuUZRF",0,0,444
445,IDNTimesJateng,Pasien yang terkena COVID-19 belum vaksin https://t.co/DwClKskzvn,0,1,445
446,KatokRombeng,"Target 208,2 Juta Penduduk Indonesia Sudah Disuntik Vaksin Covid-19 Maret 2022.!!

#OptimisPulihkanNegeri https://t.co/3w6JMeRQdm",0,0,446
447,Poetri_srikandi,"Target 208,2 juta penduduk Indonesia sudah di suntik vaksin covid 19 pada Maret 2022

#OptimisPulihkanNegeri https://t.co/JMydEYgMEv",0,0,447
448,tsur4r4_,"Target 208,2 juta penduduk Indonesia sudah di suntik vaksin covid 19 pada Maret 2022

#OptimisPulihkanNegeri https://t.co/q9Sdw00a5j",1,0,448
449,putrisrikandi_,"Target 208,2 juta penduduk Indonesia sudah di suntik vaksin covid 19 pada Maret 2022

#OptimisPulihkanNegeri https://t.co/BWgRUR2qJZ",0,0,449
450,putrisrikandi_,"Data kemenkes pada selasa 28/12/2021 pukul 18.00 wib menunjukkan 111.913.753 orang atau 53,74 % sudah vaksin covid 19 dosis ke 2

#OptimisPulihkanNegeri https://t.co/i8m1VXKIcW",0,0,450
451,Mbokayu__,"Target 208,2 juta penduduk Indonesia sudah di suntik vaksin covid 19 pada Maret 2022

#OptimisPulihkanNegeri https://t.co/UziOmz5ZIT",8,2,451
452,Mbokayu__,"Data kemenkes pada selasa 28/12/2021 pukul 18.00 wib menunjukkan 111.913.753 orang atau 53,74 % sudah vaksin covid 19 dosis ke 2

#OptimisPulihkanNegeri https://t.co/28oKdbZzb2",0,0,452
453,RSUDBudhiAsih,Ayo lindungi anak-anak dari Covid-19 dengan melakukan Vaksin Covid-19. https://t.co/sEQaW6GRZD,1,0,453
454,IniPastiDotCom,Wakapolres Gowa Kompol Soma Mihardja Cabut Undian  Doorprize Vaksin Covid-19 di Desa Panciro - https://t.co/ugnJC9tJw9 https://t.co/dPMeyAjOAp,0,1,454
455,cnbcindonesia,Kemenkes Ungkap Kemampuan Vaksin Covid-19 Lawan Omicron https://t.co/9HbxbPip8R,3,0,455
456,catatankaqihati,"Vaksin sangat penting tuk capai herd immunity sehingga bs lindungi diri dn keluarga dr covid 19 tmasuk varian omicron. 
Jangan tunda lagi, segera lengkapj dosis vaksinmu, ajak keluargamu, trmasuk anak2 usia 6-11 tahun. https://t.co/ghn2ryNRlf",21,18,456
457,radaraktual,"Pemulung di NTB Meninggal Usai Vaksin COVID-19, Polisi Segera Selidiki Kasus Ini https://t.co/9us5Yla18X",0,0,457
458,kalla_jengking,"Dengan adanya vaksinasi tentu saja sangat penting untuk mengantisipasi berkembangnya varian baru Omicron di Indonesia.

Maka dari itu kita wajib vaksin krn sangat penting demi terwujudnya herd imunity sehingga penularan Covid-19 varian baru bisa dicegah &amp; jangan lupa jaga prokes. https://t.co/utlf1MEBjS",20,17,458
459,wulanutari52,"Vaksinasi merupakan salah satu cara yang efektif untuk membentuk sistem kekebalan komunal guna melindungi diri dari penularan virus Covid 19 

Jangan ragu untuk Vaksin karena Vaksinasi yang beredar di Indonesia dijamin Pemerintah aman dan halal https://t.co/TYzn40HFDV",20,17,459
460,abi_sasaLL,"Proses vaksinasi bagi anak usia 6-11 tahun kini telah dilakukn di berbagai sekolah di Indonesia,ini sebagai langkh melindungi, memberikn rasa aman, dan nyaman untuk kembali ke sekolah. 
Pemberian vaksin Covid-19 ini jg meningkatkn kekebalan tubuh anak u/mncegah COVID-19 omicron. https://t.co/2ui2NrzF5v",18,17,460
461,riea_mariska86,"Vaksin COVID-19 ditujukan untuk merangsang sistem kekebalan tubuh seseorang. 

Bahkan dengan munculnya varian baru Omicron, vaksin tetap menjadi salah satu alat paling efektif untuk melindungi orang dari penyakit serius dan kematian akibat SARS-COV-2. https://t.co/5KqulTOahc",25,20,461
462,tempodotco,"Mampukah target vaksinasi untuk 208,2 juta warga dicapai pada April tahun depan? Nantikan jawabannya dalam bincang-bincang ""Pahlawan Vaksin: Kolaborasi Melawan Covid-19"", 30 Desember 2021 live streaming hanya di YouTube https://t.co/ZEdgB8P171. #PahlawanVaksinTempodotco https://t.co/cZA51EhmCx",2,0,462
463,tempodotco,Pahlawan Vaksin Hari Ketiga: Kolaborasi Melawan Covid-19 https://t.co/qPBIKVCZuo #TempoNasional,0,0,463
464,gwabdeeeee,"Meski sekolah terbiasa melakukan imunisasi rutin bagi anak didik, namun untuk vaksin Covid-19 anak 6-11 tahun tetap harus memperhatikan  penerapan Prokes selama kegiatan harus dilakukan. Anak harus mendapatkan perlindungan, dn herd Immunity demi cegah penularan varian Omicron https://t.co/oiuLshn5RF",20,18,464
465,kompascom,"Polisi menetapkan Abdul Rahim, warga Kabupaten Pinrang, Sulawesi Selatan, yang telah menawarkan jasa sebagai joki vaksin Covid-19 sebagai tersangka. https://t.co/n29BGvdLn3",3,4,465
466,lennidisini,"Pada Maret 2022, Indonesia telah menargetkan 208,2 juta penduduknya sudah disuntik vaksin covid-19.👍🏻
#OptimisPulihkanNegeri https://t.co/X7o22MzWN1",0,0,466
467,Andana_201,"Wah kabarnya penduduk indonesia ditargetkan 208,2 jt sudah disuntik vaksin covid_19 pada maret 2022 #OptimisPulihkanNegeri https://t.co/S6wY9crKxq",0,0,467
468,azrol_ar,"Target 208,2 Juta penduduk Indonesia sudah disuntik vaksin Covid-19 Pada Maret 2022.
#OptimisPulihkanNegeri https://t.co/bxfxzXJkOA",0,0,468
469,ThiaraNadja,"UPP Kab. Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di kel. Bonto langkasa kec. Bissappu Sekaligus sosialisasi sapu bersih pungutan liar, melalui media masker yang digunakan oleh personil yg berlogokan saber pungli &amp; pemda",0,0,469
470,voidotid,"Tedros mengulangi seruannya kepada negara-negara untuk berbagi vaksin COVID-19 secara lebih adil, memperingatkan penekanan pada dosis booster di negara-negara kaya dapat membuat negara-negara miskin kekurangan vaksin. https://t.co/zrZZRBdB5S",0,0,470
471,detikcom,"Kemenkes melaporkan mayoritas pasien COVID-19 varian Omicron di Indonesia sudah menerima vaksin COVID-19 dosis lengkap. Lantas, seperti apa kondisi pasien? https://t.co/ygLLQ0LMoH",13,9,471
472,ThaminahNaila,UPP Kab. Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di desa lonrong kec. Eremerasa Sekaligus sosialisasi sapu bersih pungutan liar,0,0,472
473,wamnews_ind,"'Kemenkes' Mengumumkan Pemberian 37.695 Dosis Vaksin 'Covid-19' Selama 24 Jam Terakhir, Sehingga Total Sampai Hari ini adalah 22.574.541 https://t.co/QqZ8DuC3K5 
#WamNews",0,0,473
474,Azhar61910,@syazwinashahrir Tak faham betul research utk future generation tu..Vaksin covid-19 pun masih diberi (sedekah + kehebatan KJ &amp; team). Apa end product Phd Malaysia setakat ni yg betul2 berjaya dibanggakan? Honest. Kereta ke.. kereta api ke.. kereta terbang ke.. Banjir boleh terus sedut ke.,0,0,474
475,giginpraginant3,"Perlu diuji apakah apa yang dilakukan justeru memperkuat kekebalan tubuhnya terhadap Covid-19 bahkan penyakit lainnya
https://t.co/FPMu1N1YBp

Polisi menetapkan Abdul Rahim menjadi tersangka kasus joki vaksin di Kabupaten Pinrang, Sulawesi Selatan (Sulsel).",0,0,475
476,usmanz_76,"Yg benar ajalah pak Gunawan..
Negara UAE lebih dari 85 % udah vaksin dan negaranya sangat peduli Maslah COVID-19..
Atau jangan2 ini buat nambah karantina dan PPKM menjelang lebaran tahun depan.@__Sridiana_3va @RieGucciano @panca66 @Hilmi28 https://t.co/9W8OBnOcNl",0,0,476
477,farahkhairun291,"UPP Kab. Bantaeng melaksanakan giat rapat percepatan untuk vaksin covid-19 di kel. Bonto lebang kec. Bissappu Sekaligus sosialisasi sapu bersih pungutan liar, melalui media masker yang digunakan oleh personil yg berlogokan saber pungli &amp; pemda",0,0,477
478,jpnncom,Perdana Menteri mengatakan ia diberi tahu oleh beberapa dokter bahwa 90 persen pasien COVID-19 yang dirawat di ICU belum mendapatkan vaksin booster. #boostervaksin https://t.co/rN1a12uY8M,0,0,478
479,matamilenialID,"Ada Lima Merek Vaksin Covid-19 yang Akan Digunakan Sebagai Booster di Indonesia

Baca selengkapnya disini!
https://t.co/5lXfml4VBk

#MataIndonesia #Merek #Vaksin #Covid19 #Booster",0,0,479
480,tarannisa2940,Dokter yang Jual Beli Vaksin Covid-19 Ilegal Divonis 2 Tahun 8 Bulan Penjara Dok,0,0,480
481,PesisirnewsCom,Bupati Inhil Undi Pemenang Gebyar Pekan Vaksin Covid-19 Berhadiah Utama 2 Unit Sepeda Motor https://t.co/82oKPkcDWm,0,0,481
482,tarannisa2940,"UPP Kab. Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di desa bonto mate'ne kec. Sinoa Sekaligus sosialisasi sapu bersih pungutan liar, melalui media masker yang digunakan oleh personil yg berlogokan saber pungli &amp; pemda",0,0,482
483,oliveolio2985,"UPP Kab. Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di kel. Bonto rita kec. Bissappu Sekaligus sosialisasi sapu bersih pungutan liar, melalui media masker yang digunakan oleh personil yg berlogokan saber pungli &amp; pemda",0,0,483
484,DeoVanny3,Dokter yang Jual Beli Vaksin Covid-19 Ilegal Divonis 2 Tahun 8 Bulan Penjara Dok,0,0,484
485,KawarPanji,"@__Sridiana_3va Mbak Dokter @__Sridiana_3va , ada sedikit pertanyaan nih gara2 timnas kalah
1. Ada DATAnya Kah Jumlah Orang Gila atau Penghuni RSJ yang Meninggal Karena COVID 19
2. Sudah Berapa Banyak Orang Gila yang di VAKSIN ??
3. Kalo Penghuni RSJ di Vaksin ada yg KIPI juga kah ???",1,0,485
486,heraldindo,"Ancam Warganya yang Tidak Mau Vaksin COVID-19, Wali Kota Palopo: Saya Cabut BPJS dan PKH-nya https://t.co/IwtrL1clXG",0,0,486
487,beritasampit_id,"#BeritaSampit
Penerima Vaksin Lengkap Capai 112,277 Juta Jiwa Penduduk Indonesia https://t.co/gu68qzKGYg JAKARTA - Satuan Tugas (Satgas) COVID-19 melaporkan jumlah warga Indonesia yang telah mener... https://t.co/0tMkL1PiGI",0,0,487
488,mediamonitor21,Dokter yang Jual Beli Vaksin Covid-19 Ilegal Divonis 2 Tahun 8 Bulan Penjara : Okezone News https://t.co/KyJP6JJoPy,0,0,488
489,okezonenews,Dokter yang Jual Beli Vaksin Covid-19 Ilegal Divonis 2 Tahun 8 Bulan Penjara #LengkapCepatBeritanya #BeritaTerkini #BeritaDaerah . https://t.co/PtxewQkWwU,3,0,489
490,mediaindonesia,Begitu juga dengan vaksin COVID-19 dalam negeri lainnya yakni vaksin kerja sama Bio Farma dan Baylor College Medicine  https://t.co/EpFsavcg4O,0,0,490
491,jpnncom,Forum Umat Muslim Indonesia (FUMI) mendesak pemerintah berhenti menggunakan vaksin Covid-19 haram di Indonesia. #ForumUmatMuslimIndonesia https://t.co/6RnWMAvO1a,0,0,491
492,PoskotaL,Dimulai di Israel Uji Coba Dosis Ke Empat Vaksin COVID-19 https://t.co/ylxLKjX9I7,0,0,492
493,wow_keren,Obat-Obatan dan Vaksin COVID-19 di Brasil Hancur Akibat Banjir 'Mematikan' #Internasional https://t.co/TB6ERhElF6 https://t.co/e486PcvuXq,0,0,493
494,Antara_Jabar,"Anak usia 6-11 tahun di Garut mulai disuntik vaksin COVID-19 
 https://t.co/5Dhw8x4f5k",0,0,494
495,haibundacom,"Si Kecil sudah suntuk vaksin COVID-19, Bunda? Jangan lupa untuk segera cek dan download sertifikatnya di PeduliLindungi ya. Berikut cara cek dan download-nya. https://t.co/izVs6v3Hp6",0,0,495
496,bharianmy,"#BHnasional Penerima vaksin COVID-19 perlu mengambil suntikan ketiga
https://t.co/OFX9tx2S1W",8,0,496
497,HasranMuhammad,"@republikaonline Maksa amat vaksin anak, toh case covid-19 dr awal sedikit di usia ini yg kena dan fatality ratenya rendah

Lama2 hilang anti body manusia di ganti vaksin, tiap ada varian baru atau virus baru vaksin lagi",0,0,497
498,KompasTV,BPOM Sebut Izin Penggunaan Vaksin Booster Covid-19 Segera Terbit https://t.co/ry5KoniWbM https://t.co/iDE7vo7qHw,10,2,498
499,purnomowardoyo,"Polres Jepara Jemput Lansia dan Suntikkan Vaksin Covid-19 Guna Percepat Vaksinasi
👇
 ☛ https://t.co/PSSL167UyJ
@m_nkripost 
@NkriPostcom",0,0,499
500,DeliSerdang_Kab,"Tenaga kesehatan (Nakes) di delapan lokasi vaksinasi yang disediakan Pemerintah Kecamatan Galang, Kabupaten Deli Serdang, Rabu (29/12/2021), berhasil menyuntikan vaksin Covid-19 terhadap 416 orang, baik dosis I maupun II. Info Selengkapnya https://t.co/dDnZBth8oM https://t.co/5zy49DP1la",0,0,500
501,ahmadzackariaaa,UPP Kab.Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di kel.bonro manai kec.bissappu Sekaligus sosialisasi sapu bersih pungutan liar...🖐️🖐️🖐️ https://t.co/HWy5j9XHFs,0,0,501
502,ahmadzackariaaa,UPP Kab.Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di desa mappilawing kec.eremerasa Sekaligus sosialisasi sapu bersih pungutan liar...🖐️🖐️🖐️ https://t.co/E03wFt6UU2,0,0,502
503,ahmadzackariaaa,UPP Kab.Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di desa barua kec.eremerasa Sekaligus sosialisasi sapu bersih pungutan liar...🖐️🖐️🖐️ https://t.co/GQGE2JHBim,0,0,503
504,ahmadzackariaaa,UPP Kab.Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di desa lonrong kec.eremerasa Sekaligus sosialisasi sapu bersih pungutan liar...🖐️🖐️🖐️ https://t.co/TzeVWx8nbQ,0,0,504
505,ahmadzackariaaa,UPP Kab.Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di desa bonto lojong kec.uluere Sekaligus sosialisasi sapu bersih pungutan liar...🖐️🖐️🖐️ https://t.co/4zys8tMR6x,0,0,505
506,GATRA_com,"AS Sumbang Tambahan 3,3 Juta Dosis Vaksin COVID-19 untuk Indonesia

https://t.co/Alk9hJEGEz",0,0,506
507,antaramakassar,"Penerima vaksin COVID-19 dosis lengkap capai 112,277 juta jiwa penduduk Indonesia https://t.co/MGHkZMbPAN",0,0,507
508,FMB9ID_,"Pemerintah telah melakukan banyak hal untuk dapat bertahan dalam kondisi pandemi ini, baik aspek penanganan Covid-19 maupun aspek pemulihan ekonomi nasional.

Hingga 27 Desember 2021, Indonesia telah mendatangkan vaksin berupa bulk dan vaksin berbagai merk sebanyak 444.362.515.",0,0,508
509,beritartm,"29 Disember - Jair Bolsonaro tidak benarkan anak perempuannya terima vaksin COVID-19
https://t.co/D8ga5W3wY2

'Yang sahih di Berita RTM'

#RTM #BeritaRTM #KeluargaMalaysia #COVID19Malaysia #lensakeluargamalaysia https://t.co/lFQla8KPAJ",3,2,509
510,Polsek_klb_,"Rabu 29 Desember 2021
PKL  10.30 WIB s/d selesai  Bhabinkamtibmas kalurahan banjararum monitoring kegiatan vaksin covid 19 dari puskesmas Kalibawang di SDN Dekson2 untuk usia 6 s.d. 11 tahun.
Bhabinkamtibmas menghinbau kpd para siswa agar dikurangi bermain handphone ataupun game. https://t.co/smQTFb9MX8",0,0,510
511,soloposdotcom,Gejala Omicron Berbeda Tergantung Dosis Vaksin Covid-19 https://t.co/xt9OUowj8D,0,0,511
512,fajaronline,"Ikut Vaksin Covid-19, Peserta Dapat Doorprize https://t.co/I8lwz6ohSp #PemkabMaros #VaksinasiCovid-19",0,0,512
513,PDI_Perjuangan,"Anton bersyukur PDI Perjuangan Kota Madiun bisa memvaksinasi warga Kota Madiun.
Menurutnya, vaksin adalah salah satu ikhtiar untuk menghindari resiko terburuk dari terkena covid-19.

#PDIPerjuangan
#SolidBergerak",2,0,513
514,detikHealth,Ahli bedah jantung Israel menjadi orang sehat pertama di dunia yang menerima dosis vaksin COVID-19 keempat yang disetujui secara medis. https://t.co/kYiiH5u43q,5,1,514
515,bangsaonline,"Bupati Jombang Hj Mundjidah Wahab melakukan takziah ke rumah siswa kelas 6 Sekolah Dasar (SD) yang dikabarkan meninggal dunia setelah disuntik Vaksin Covid-19, pada Selasa (28/12/21).

Dalam kunjungannya, Bupati Mundjidah langsung disambut oleh kedua ora… https://t.co/DwKlwaUbAd",0,0,515
516,Mukidi_alNgibul,"Pemulung di Lombok Tewas Beberapa Saat Usai Divaksin Covid-19, Kadinkes: Penyakit Bawaan

Saat Pandemi Abal2 berlangsung, semua yg mati apapun penyakitnya disebut karena Covid19
Skrg kalo habis di vaksin terus mati, alasannya krn penyakit bawaan🤔🤔🤔🤔🤔 https://t.co/SkQxsG4lV2",13,8,516
517,tawaufm,"MAKLUMAN VAKSINASI‼️

Operasi Pusat Pemberian Vaksin (PPV) Covid-19 Dewan Masyarakat Tawau (DMT) akan TUTUP SEPENUHNYA pada 31 DISEMBER 2021 (JUMAAT).",0,0,517
518,tawaufm,"Manakala,

Bagi Pusat Pemberian Vaksin (PPV) Covid-19 Dewan Bola Keranjang, Kampung Jawa akan tutup selama 2 hari, 01 JANUARI 2022 - 02 JANUARI 2022 (SABTU&amp;AHAD). PPV Dewan Bola Keranjang, Kampung Jawa akan mula beroperasi seperti biasa pada 03 JANUARI 2022 (ISNIN).",0,0,518
519,tawaufm,"Booster Pfizer dan Sinovac boleh didapatkan di Dewan Bola Keranjang, Kampung Jawa bermula 03 JANUARI 2022 (ISNIN).

Klinik-Klinik Kesihatan di bawah pengurusan Pejabat Kesihatan Kawasan Tawau beroperasi seperti biasa untuk pemberian vaksin Covid-19 seperti di bawah :",0,0,519
520,tempodotco,Juara dunia Kickboxing Frederic Sinistra meninggal karena komplikasi Covid-19. Ia juga dikenal sebagai aktivis anti vaksin Corona. #TempoTekno   https://t.co/EfSzOmkgTX,5,1,520
521,AlamINDKu,Tidak diperlu diragukan lagi keamanan dan kehalalan vaksin covid-19 #COVID19 #VaksinCovid19 #covid19indonesia https://t.co/jgRznB6OZm,0,0,521
522,MonitorJadul,Tidak diperlu diragukan lagi keamanan dan kehalalan vaksin covid-19 #COVID19 #VaksinCovid19 #covid19indonesia https://t.co/Kf5jmCB4dH,0,0,522
523,Beritasatu,Data Penerima Vaksin Covid-19 sampai 29 Desember 2021 https://t.co/hbDTzOyICK https://t.co/PXor8qIX9p,0,0,523
524,protecthealthco,"Vaksin COVID-19 | Kapasiti pemberian dos penggalak dipertingkat

📺: Awani 7:45 @501Awani 
#ProtectHealth",0,0,524
525,afrkml,@_questionabs @serpensotria Omicron punya kemampuan bersembunyi dari antibodi penetralisir yang didapat dari vaksin atau dari kena covid-19 kak. Kemampuan mutasinya seperti itu.,12,0,525
526,helenamantra,"Alhamdulillah sekarang anak 6-11 tahun udah bisa vaksinasi Covid-19. Pakai Sinovac, yah. 
Gimana syarat vaksinasi anak? Vaksin di mana yah kalau di Bogor? Baca pengalaman mbak @april_hamsa di Rabu malam

https://t.co/KrzbtDeQvA",1,1,526
527,jabaronline1,"Kapolres Sukabumi Pastikan Pos Pam Nataru Siap Siaga, Polsek Cikakak Laksanakan Sweeping Vaksin Covid-19 https://t.co/TWFcbpaLS9",0,0,527
528,hervayulyanti,"Rabu malam ini daku agak galau krn emg besok ajuin cuti buat anter vaksin anakku

Alhamdulilah dpt bocoran tips dari Mak @april_hamsa biar besok bisa Vaksin Covid-19 Anak Usia 6-11 Tahun lancar jaya

Bismillah makin yakin vaksin anak abis baca ini

 https://t.co/GVojU8HOiL",2,1,528
529,voidotid,Indonesia kembali menerima kedatangan vaksin tahap ke-182 yang merupakan vaksin COVID-19 Sinovac hasil donasi dari COVAX. https://t.co/d66Ql3jANW,0,0,529
530,suarapakar,"2 Oknum Dokter di Medan Divonis Bersalah Jual Beli Vaksin Covid-19 Ilegal.

https://t.co/5nB9RQ0qVs",2,0,530
531,GanjarNEWS,"#Ganjar Minta Anak Jalanan juga Mendapatkan Vaksin Covid-19 - https://t.co/QiNXLU0vFx 
#GanjarPranowo #Ganjar 

https://t.co/o1ZaFQDKwO",0,0,531
532,cendananews,"Indonesia Kembali Terima 1,2 juta Vaksin COVID-19 Sinovac https://t.co/VAkaroEZOl",0,0,532
533,Mamang_Komik,"@gsp1209 Makasih, bang 🙏
Wah mantap sudah 2x vaksin
Semoga kita selalu sehat dan terhindar dari covid-19
Aamiin 🙏",0,0,533
534,Polreskubar1,"Jelang tahun baru 2022, Polres Kubar gelar Gerai Vaksin di pos pelayanan pelabuhan melak dalam upaya memutus penyebaran Covid 19
.
.
#polreskubar #poldakaltim #kamihumaspolri #SemangatMelayani https://t.co/pqpGi5w4B4",0,0,534
535,ArmaZulfikar,"@Meilansyahriza Genosida sistematis..!!! Ada rumor dari 100 Vaksin covid 19 sekitar 33% Placebo alias Vaksin ""palsu"". Jadi hitung hitungannya 100 seratus yg di Vaksin 33% yg selamat.rumornya depopulasi dunia.",6,0,535
536,pabbetowali,"Batalyon B Pelopor Satbrimob Polda Sulsel mengadakan serbuan vaksin Covid-19 di halaman Islamic Center Kota Parepare. 
.
.
#brimob_untuk_indonesia https://t.co/WzMJaGoBlJ",0,0,536
537,IdTinelo,Wabup Suharsi Ungkap Angka Kematian Covid-19 Nol Pasca Adanya Vaksin https://t.co/WpptClSf7G,1,0,537
538,GoRiauCom,"Besok, Warga Merbau yang Vaksin Covid-19 akan Dapat Minyak Goreng dari EMP https://t.co/6zK2zGipFg",0,0,538
539,0709Kodim,"Bintara Pembina Desa (Babinsa) Koramil 03/Sempor Kodim 0709/Kebumen Serda Yance Piter Klagilit melaksanakan kegiatan pengamanan sekaligus monitoring penyuntikan Vaksin COVID-19 Dosis I dan 2 untuk warga masyarakat Desa Sidoharum  Kecamatan Sempor, Kabupaten Kebumen. https://t.co/oNURy7HKFF",0,0,539
540,afrkml,"Jadi, Omicron sudah jadi transmisi lokal. Artinya, varian ini sdh berkeliaran di masyarakat.

Risiko tertular &gt;2 kali lipat dibanding Delta.
Menurunkan efektivitas vaksin, kecuali yg sdh booster &amp; pernah kena covid-19.

Belum ada bukti keparahan gejala &amp; risiko kematian.",3038,1009,540
541,aLy_Bima,"Bocah SD di jombang meninggal usai di vaksin covid-19, dinkes telusuri riwayat kesehatan korban?

@KomnasHAM @komnas_anak

Perlu berapa nyawa pagi baru kalian bersuara dan bergerak?
https://t.co/jhrSkb4dGN",5,2,541
542,dee_arif,"Pandemi belum berakhir. Alhamdulillah sekarang sudah ada vaksin COVID-19 untuk anak. Sudah pada vaksin kah anaknya? Yuk bisa simak cerita lengkap mbak @april_hamsa Rabu ini tentang anaknya yang sudah di vaksin COVID-19

https://t.co/TBYSCuFpWI",1,1,542
543,AdamPrabata,"Berdasarkan data awal juga, booster vaksin terbukti dapat meningkatkan efektivitas vaksin Covid-19 terhadap varian Omicron

Pernah terinfeksi Covid-19 juga diduga bisa meningkatkan efektivitas vaksin",3,4,543
544,AdamPrabata,Penurunan efektivitas vaksin ini juga didukung oleh berbagai temuan penurunan kemampuan netralisasi antibodi dari orang yang sudah divaksin Covid-19 terhadap varian Omicron dibandingkan varian lainnya,1,1,544
545,AdamPrabata,"4. Efektivitas Vaksin TURUN

Data awal di UK dan Afsel menunjukkan efektivitas vaksin Covid-19 LEBIH RENDAH terhadap varian Omicron dibanding varian lain

Efektivitas yang turun antara lain:
-Mencegah Infeksi
-Mencegah gejala
-Mencegah rawat inap",1,1,545
546,SuaraPerak,"Polis menerima 30 laporan daripada individu pelbagai latar belakang termasuk penjawat awam di daerah ini yang enggan menerima vaksin Covid-19.

#SuaraPerak 

https://t.co/WHzIM65vVV",1,0,546
547,hmetromy,#TelukIntan: Polis menerima 30 laporan daripada individu pelbagai latar belakang termasuk penjawat awam di daerah ini yang enggan menerima vaksin Covid-19. https://t.co/aNKoPnxbzg,14,0,547
548,bow_5758,siapkan pertanggung jawaban diri anda para akun dewa dihadapan ALLAH SWT....hasil dari promote vaksin kalian terhadap follower kalian bnyak masyarakat yg jdi korban terkena KIPI akibat eksperimen covid 19.... https://t.co/lck5UQcvdI,2,2,548
549,detikHealth,"Kemenkes melaporkan mayoritas pasien COVID-19 varian Omicron di Indonesia sudah menerima vaksin COVID-19 dosis lengkap. Lantas, seperti apa kondisi pasien? https://t.co/M5NbxWH2ms",2,0,549
550,merdekadotcom,"Terbukti Jual Vaksin Covid-19, Dua Dokter di Medan Dihukum 24 dan 32 Bulan Penjara https://t.co/kjgJS7Xso0",3,2,550
