,Username,Tweet,Likes,Retweets,No
28,pakarnur,"#Nonton Bareng Final AFF#Aceh Tamiang#Vaksin Covid-19!

Ajang nonton bareng Final AFF, Indonesia-Thailand pada Rabu (29/12/2021) malam menjadi area vaksin Covid-19.

https://t.co/dAnaxJHUXY",0,0,28
29,serambinews,"#Nonton Bareng Final AFF#Aceh Tamiang#Vaksin Covid-19!

Ajang nonton bareng Final AFF, Indonesia-Thailand pada Rabu (29/12/2021) malam menjadi area vaksin Covid-19.

https://t.co/AuZYA850aN",0,0,29
30,ahmadzackariaaa,UPP Kab.Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di kel.ereng-ereng kec.tompobulu Sekaligus sosialisasi sapu bersih pungutan liar...🖐️🖐️🖐️ https://t.co/3XKJOfeSrP,0,0,30
31,ahmadzackariaaa,UPP Kab.Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di desa barua kec.eremerasa Sekaligus sosialisasi sapu bersih pungutan liar...🖐️🖐️🖐️ https://t.co/HvNLqCOqXN,0,0,31
32,ahmadzackariaaa,UPP Kab.Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di kel.bonto manai kec.bissappu Sekaligus sosialisasi sapu bersih pungutan liar...🖐️🖐️🖐️ https://t.co/htOHEuzxgY,0,0,32
33,ahmadzackariaaa,UPP Kab.Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di desa mappilawing kec.eremerasa Sekaligus sosialisasi sapu bersih pungutan liar...🖐️🖐️🖐️ https://t.co/b3duTsWikW,0,0,33
34,ahmadzackariaaa,UPP Kab.Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di desa batu karaeng https://t.co/yTZoiwTdHM'jukukang Sekaligus sosialisasi sapu bersih pungutan liar...🖐️🖐️🖐️ https://t.co/Qhb9PQW37K,0,0,34
35,ahmadzackariaaa,UPP Kab.Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di desa tombolo kec.gantarangkeke Sekaligus sosialisasi sapu bersih pungutan liar...🖐️🖐️🖐️ https://t.co/eeN5WapwZP,0,0,35
36,ahmadzackariaaa,UPP Kab.Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di desa bonto tappalang kec.tompobulu Sekaligus sosialisasi sapu bersih pungutan liar...🖐️🖐️🖐️ https://t.co/VXhvpPX78F,0,0,36
37,ahmadzackariaaa,UPP Kab.Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 kel.campaga kec.tompobulu Sekaligus sosialisasi sapu bersih pungutan liar...🖐️🖐️🖐️ https://t.co/Bd6YzmwD3h,0,0,37
38,ahmadzackariaaa,UPP Kab.Bantaeng melaksanakan giat pengamanan &amp; pendampingan vaksin covid-19 di kel.tappanjeng kec.bantaeng Sekaligus sosialisasi sapu bersih pungutan liar...🖐️🖐️🖐️ https://t.co/TYFyyzozP1,0,0,38
39,PT_Transjakarta,"@Elvacs Hai kak. Saat ini pengaturan kapasitas maksimal 100% (seratus persen dan Seluruh pelanggan Transjakarta wajib menunjukkan sertifikat vaksin Covid-19 untuk dapat mengakses seluruh layanan Transjakarta, baik melalui aplikasi Jaki, PeduliLindungi atau sertifikat vaksin. ^ZL",1,0,39
40,ZonaKaltara,"Diawasi Ketat! Nakes Rumah Sakit di Israel Mulai Dapatkan Dosis Keempat Vaksin Covid-19
#Vaksinasi #COVID19 #Israel

https://t.co/yc4HiVElsn",0,0,40
41,justinfogarut,"Baru Dimulai, Yuk Warga Garut Ajak Anak-Anak Vaksin Covid-19
https://t.co/CZ0BdWyYyO",0,0,41
42,angusberesford,Indonesia Hemat Rp13 Triliun dari Kerja Sama Bilateral Vaksin Covid-19 https://t.co/0TmQ9bA8rB,0,0,42
